,has_media,hashtags,img_urls,is_replied,is_reply_to,likes,links,parent_tweet_id,replies,reply_to_users,retweets,screen_name,text,text_html,timestamp,timestamp_epochs,tweet_id,tweet_url,user_id,username,video_url
0,False,['PactoDeCorruptos'],[],False,True,1,[],1213602256425226240,0,"[{'screen_name': '_ojoconmipisto', 'user_id': '1915801717'}, {'screen_name': 'MPguatemala', 'user_id': '609174347'}]",0,Napo_Rojas,"Lo más significativo de esta foto es el corrupto de Rubén Mejía, se aprecia al fondo, es cierta la info de el @elPeladero_eP Botox y Mejia los testaferros de @ASinibaldi están con Giammattei  augurios negativos #PactoDeCorruptos","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Lo más significativo de esta foto es el corrupto de Rubén Mejía, se aprecia al fondo, es cierta la info de el <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""742760286961213440"" dir=""ltr"" href=""/elPeladero_eP""><s>@</s><b>elPeladero_eP</b></a> Botox y Mejia los testaferros de <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""113750074"" dir=""ltr"" href=""/ASinibaldi""><s>@</s><b>ASinibaldi</b></a> están con <strong>Giammattei</strong>  augurios negativos <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/PactoDeCorruptos?src=hash""><s>#</s><b>PactoDeCorruptos</b></a></p>",2020-01-04 23:31:18,1578180678,1213603842828443648,/Napo_Rojas/status/1213603842828443648,2193330133,Napo.Rojas,
1,False,[],[],True,False,1225,[],,217,[],531,sergistack,"¿USAS GOOGLE CHROME?

Lo siento por las mayúsculas, pero existe un nuevo navegador que es más rápido y más privado que Chrome (bloquea los anuncios y los rastreadores, lo cual ahorra tiempo de carga).

La interfaz es exactamente igual que la de Chrome, Brave lo supera en todo.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">¿USAS GOOGLE CHROME?

Lo siento por las mayúsculas, pero existe un nuevo navegador que es más rápido y más privado que Chrome (bloquea los anuncios y los rastreadores, lo cual ahorra tiempo de carga).

La interfaz es exactamente igual que la de Chrome, Brave lo supera en todo.</p>",2020-03-28 20:07:18,1585426038,1243993087531266049,/sergistack/status/1243993087531266049,272910982,Sergi Stack,
2,False,[],[],True,True,0,[],1213263775975067648,1,"[{'screen_name': 'herrerahector26', 'user_id': '3438601883'}, {'screen_name': 'FABERGANZA', 'user_id': '495409162'}]",0,herrerahector26,"La Democracia guatemalteca aniquila a sus enemigos o los encarcela. Pero sigamos tirándole mugre a Cuba y Venezuela porque nos gusta ser Haití por ello eligieron a Giammattei, porque les encanta seguir siendo un país subdesarrollado sin niveles de cultura, salud y educación.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">La Democracia guatemalteca aniquila a sus enemigos o los encarcela. Pero sigamos tirándole mugre a Cuba y Venezuela porque nos gusta ser Haití por ello eligieron a <strong>Giammattei</strong>, porque les encanta seguir siendo un país subdesarrollado sin niveles de cultura, salud y educación.</p>",2020-01-04 22:54:23,1578178463,1213594553279827969,/herrerahector26/status/1213594553279827969,3438601883,Hector Herrera,
3,False,[],[],True,True,0,[],1213263775975067648,1,"[{'screen_name': 'FABERGANZA', 'user_id': '495409162'}, {'screen_name': 'nomadagt', 'user_id': '2238948698'}, {'screen_name': 'Ejercito_GT', 'user_id': '93676973'}]",0,carlosanchezurd,"Guatemala tiene libertad de elección tan clara que a OPM, Jimmy Morales y Giammattei fueron impuestos y promovidos por Cacif, la libertad individual es concreta siempre y cuando no atente con los intereses de Cacif y la locomoción en breve con peaje","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Guatemala tiene libertad de elección tan clara que a OPM, Jimmy Morales y <strong>Giammattei</strong> fueron impuestos y promovidos por Cacif, la libertad individual es concreta siempre y cuando no atente con los intereses de Cacif y la locomoción en breve con peaje</p>",2020-01-04 22:38:18,1578177498,1213590505407352832,/carlosanchezurd/status/1213590505407352832,816494229870563328,Carlos Sanchez Alfaro,
4,False,[],[],False,True,1,[],1213288810433384448,0,"[{'screen_name': 'turokarturo1', 'user_id': '1208429673966948352'}]",1,MuyGuatemalteco,Por allí vi una pancarta con la carota de Giammattei para un evento el 15,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Por allí vi una pancarta con la carota de <strong>Giammattei</strong> para un evento el 15</p>",2020-01-04 21:29:54,1578173394,1213573292159885317,/MuyGuatemalteco/status/1213573292159885317,1684827242,ChapinGT+,
5,False,[],[],False,True,11,[],1213470929390624775,0,"[{'screen_name': 'unicornio29601', 'user_id': '2744596991'}, {'screen_name': 'DrsergioHernan3', 'user_id': '2957638782'}, {'screen_name': 'jorgemasaya', 'user_id': '2423265463'}]",1,SGLiss1,"Hasta que Giammattei tenga puesta la banda presidencial y haya dado su discurso de toma de posesión, este será mi miedo.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Hasta que <strong>Giammattei</strong> tenga puesta la banda presidencial y haya dado su discurso de toma de posesión, este será mi miedo.</p>",2020-01-04 20:50:19,1578171019,1213563328402018304,/SGLiss1/status/1213563328402018304,1041306355531898880,La de los gatos y los chuchos,
6,False,[],[],False,True,1,[],1213285840794861568,0,"[{'screen_name': 'fatitorres12', 'user_id': '2951566842'}]",0,isa_giammattei,Tu cara?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Tu cara?</p>",2020-01-04 20:47:38,1578170858,1213562654998122496,/isa_giammattei/status/1213562654998122496,1067216339415285760,Isa Giammattei,
7,False,[],[],False,False,0,['http://bit.ly/2MWfunW'],,0,[],0,LHVozMigrante,"Para el experto, Giammattei y su equipo deben evitar gobernar al estilo de decisiones mediáticas, que al final no tienen ningún sustento operativo, cómo funciona el Gobierno de El Salvador con Nayib Bukele. 👇
http://bit.ly/2MWfunW ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Para el experto, <strong>Giammattei</strong> y su equipo deben evitar gobernar al estilo de decisiones mediáticas, que al final no tienen ningún sustento operativo, cómo funciona el Gobierno de El Salvador con Nayib Bukele. <img alt=""👇"" aria-label=""Emoji: Dorso de la mano con el dedo índice señalando hacia abajo"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f447.png"" title=""Dorso de la mano con el dedo índice señalando hacia abajo""/>
<a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/2MWfunW"" dir=""ltr"" href=""https://t.co/hv2olcZji4"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/2MWfunW""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/2MWfunW</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",2020-01-04 20:20:00,1578169200,1213555699713630214,/LHVozMigrante/status/1213555699713630214,845100530489872389,La Hora Voz del Migrante,
8,False,[],[],False,True,2,[],1213517695670460417,0,"[{'screen_name': 'EdgarGonzalezGT', 'user_id': '940133402'}, {'screen_name': 'Delatorregaby', 'user_id': '255647140'}]",1,SGLiss1,"Exacto. Yo veo, por ejemplo, el caso del MARN. Conozco biólogos con maestrías en recursos naturales y experiencia a nivel nacional e internacional; muy capaces. Estoy segura que ellos harían un excelente trabajo. 
Sin embargo, ni Morales, ni Giammattei los tomaron en cuenta.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Exacto. Yo veo, por ejemplo, el caso del MARN. Conozco biólogos con maestrías en recursos naturales y experiencia a nivel nacional e internacional; muy capaces. Estoy segura que ellos harían un excelente trabajo. 
Sin embargo, ni Morales, ni <strong>Giammattei</strong> los tomaron en cuenta.</p>",2020-01-04 20:18:25,1578169105,1213555304065110016,/SGLiss1/status/1213555304065110016,1041306355531898880,La de los gatos y los chuchos,
9,False,[],[],False,False,18,['http://bit.ly/37xzXYf'],,0,[],5,lahoragt,"Jimmy Morales le entregará el mando a Alejandro Giammattei, bajo una serie de retos que deberá cumplir, aseguró el catedrático universitario David Martínez-Amador. http://bit.ly/37xzXYf ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Jimmy Morales le entregará el mando a Alejandro <strong>Giammattei</strong>, bajo una serie de retos que deberá cumplir, aseguró el catedrático universitario David Martínez-Amador. <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""http://bit.ly/37xzXYf"" dir=""ltr"" href=""https://t.co/Vddlf7WW7H"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/37xzXYf""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/37xzXYf</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",2020-01-04 20:00:00,1578168000,1213550668058746880,/lahoragt/status/1213550668058746880,168557941,Diario La Hora,
